M* L* m R* Rc Tc ec rhoc
0.5 0.02 0.935 0.97511 0.766E+08 0.680E+07 0.263E-04 0.419E+05
0.7 0.13 0.958 1.04087 0.680E+08 0.946E+07 0.175E-03 0.530E+05
1 0.8 0.919 1.19395 0.988E+08 0.111E+08 0.297E-03 0.432E+05
1.5 6.5 0.908 1.25767 0.109E+09 0.155E+08 0.165E-02 0.512E+05
2 22 0.865 1.39310 0.151E+09 0.165E+08 0.174E-02 0.385E+05
3 112 0.835 1.80192 0.223E+09 0.176E+08 0.150E-02 0.214E+05
4 330 0.808 1.97954 0.274E+09 0.197E+08 0.361E-02 0.177E+05
8 3333 0.743 2.95018 0.503E+09 0.221E+08 0.716E-02 0.720E+04
10 6800 0.731 3.27221 0.574E+09 0.242E+08 0.247E-01 0.609E+04
12 12500 0.736 4.01087 0.672E+09 0.247E+08 0.232E-01 0.411E+04
