                                             A ZAMS Stellar Model
                                             --------------------

                                             M    =     1.00000 solar
                                             L    =     0.90000 solar
                                             R    =     1.08572 solar
                                             Teff =  5400.00000 K
                                             X    =     0.70000
                                             Y    =     0.29200
                                             Z    =     0.00800



 # zone      r         tau     1-M_r/Ms      L_r         T          P         rho        kap        eps  rc_flag  dlnPdlnT
    0  0.755E+09  0.000E+00  0.000E+00  0.345E+27  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  r 99.9
    1  0.754E+09  0.126E+00  0.380E-13  0.345E+27  0.309E+04  0.601E+00  0.140E-07  0.238E+02  0.135-107  r  1.0
    2  0.754E+09  0.275E+00  0.105E-12  0.345E+27  0.836E+04  0.496E+01  0.381E-07  0.167E+01  0.512E-79  c  1.7
    3  0.754E+09  0.299E+00  0.178E-12  0.345E+27  0.136E+05  0.972E+01  0.599E-08  0.101E+00  0.449E-69  c  1.4
    4  0.753E+09  0.306E+00  0.317E-12  0.345E+27  0.189E+05  0.189E+02  0.829E-07  0.208E+00  0.114E-61  c  2.3
    5  0.752E+09  0.313E+00  0.526E-12  0.345E+27  0.216E+05  0.326E+02  0.121E-07  0.715E-01  0.167E-62  r 99.9
    6  0.751E+09  0.314E+00  0.776E-12  0.345E+27  0.216E+05  0.491E+02  0.151E-07  0.622E-01  0.430E-60  r 99.9
    7  0.751E+09  0.314E+00  0.971E-12  0.345E+27  0.216E+05  0.620E+02  0.219E-08  0.400E-01  0.624E-61  r 99.9
    8  0.750E+09  0.316E+00  0.105E-11  0.345E+27  0.216E+05  0.670E+02  0.464E-07  0.103E+00  0.132E-59  r 99.9
    9  0.749E+09  0.322E+00  0.121E-11  0.345E+27  0.216E+05  0.779E+02  0.805E-07  0.142E+00  0.229E-59  r 99.9
   10  0.748E+09  0.338E+00  0.150E-11  0.345E+27  0.216E+05  0.978E+02  0.151E-06  0.212E+00  0.429E-59  r 99.9
   11  0.748E+09  0.385E+00  0.206E-11  0.345E+27  0.216E+05  0.135E+03  0.280E-06  0.326E+00  0.799E-59  r 99.9
   12  0.747E+09  0.521E+00  0.308E-11  0.345E+27  0.216E+05  0.205E+03  0.522E-06  0.515E+00  0.150E-58  r 99.9
   13  0.746E+09  0.927E+00  0.499E-11  0.345E+27  0.216E+05  0.334E+03  0.974E-06  0.826E+00  0.282E-58  r 99.9
   14  0.745E+09  0.215E+01  0.855E-11  0.345E+27  0.216E+05  0.577E+03  0.182E-05  0.134E+01  0.544E-58  r 99.9
   15  0.745E+09  0.583E+01  0.152E-10  0.345E+27  0.217E+05  0.103E+04  0.339E-05  0.216E+01  0.112E-57  r 99.9
   16  0.744E+09  0.167E+02  0.274E-10  0.345E+27  0.218E+05  0.188E+04  0.627E-05  0.343E+01  0.277E-57  r 80.3
   17  0.743E+09  0.469E+02  0.499E-10  0.345E+27  0.222E+05  0.343E+04  0.114E-04  0.514E+01  0.109E-56  r 30.0
   18  0.742E+09  0.120E+03  0.898E-10  0.345E+27  0.232E+05  0.619E+04  0.198E-04  0.686E+01  0.105E-55  r 13.2
   19  0.742E+09  0.268E+03  0.157E-09  0.345E+27  0.249E+05  0.109E+05  0.324E-04  0.791E+01  0.273E-54  r  7.6
   20  0.741E+09  0.518E+03  0.263E-09  0.345E+27  0.273E+05  0.183E+05  0.498E-04  0.816E+01  0.120E-52  r  5.6
   21  0.740E+09  0.892E+03  0.421E-09  0.345E+27  0.299E+05  0.294E+05  0.731E-04  0.800E+01  0.515E-51  r  4.9
   22  0.739E+09  0.141E+04  0.649E-09  0.345E+27  0.327E+05  0.455E+05  0.103E-03  0.770E+01  0.170E-49  r  4.7
   23  0.739E+09  0.211E+04  0.965E-09  0.345E+27  0.356E+05  0.678E+05  0.141E-03  0.738E+01  0.413E-48  r  4.6
   24  0.738E+09  0.301E+04  0.139E-08  0.345E+27  0.386E+05  0.981E+05  0.189E-03  0.707E+01  0.751E-47  r  4.5
   25  0.737E+09  0.414E+04  0.195E-08  0.345E+27  0.415E+05  0.138E+06  0.247E-03  0.678E+01  0.106E-45  r  4.5
   26  0.736E+09  0.556E+04  0.268E-08  0.345E+27  0.445E+05  0.190E+06  0.318E-03  0.652E+01  0.119E-44  r  4.5
   27  0.735E+09  0.729E+04  0.360E-08  0.345E+27  0.475E+05  0.257E+06  0.402E-03  0.627E+01  0.111E-43  r  4.5
   28  0.735E+09  0.939E+04  0.476E-08  0.345E+27  0.505E+05  0.340E+06  0.501E-03  0.605E+01  0.869E-43  r  4.5
   29  0.734E+09  0.119E+05  0.619E-08  0.345E+27  0.535E+05  0.444E+06  0.617E-03  0.585E+01  0.588E-42  r  4.5
   30  0.733E+09  0.149E+05  0.794E-08  0.345E+27  0.565E+05  0.572E+06  0.752E-03  0.566E+01  0.349E-41  r  4.5
   31  0.732E+09  0.184E+05  0.101E-07  0.345E+27  0.596E+05  0.726E+06  0.907E-03  0.549E+01  0.185E-40  r  4.5
